time,open,high,low,close,tick_volume,spread,real_volume,time_iso
1659365100,132.403,132.497,132.382,132.42,2919,0,0,2022-08-01 14:45:00
1659366000,132.42,132.506,132.3,132.302,3225,0,0,2022-08-01 15:00:00
1659366900,132.301,132.329,132.215,132.293,2628,0,0,2022-08-01 15:15:00
1659367800,132.293,132.302,132.171,132.261,2337,0,0,2022-08-01 15:30:00
1659368700,132.261,132.296,132.054,132.055,2721,0,0,2022-08-01 15:45:00
1659369600,132.055,132.095,131.845,131.92,3888,0,0,2022-08-01 16:00:00
1659370500,131.919,131.97,131.811,131.951,3332,0,0,2022-08-01 16:15:00
1659371400,131.951,132.001,131.853,131.935,3141,0,0,2022-08-01 16:30:00
1659372300,131.931,132.003,131.903,131.951,3031,0,0,2022-08-01 16:45:00
1659373200,131.951,132.392,131.887,131.939,4814,0,0,2022-08-01 17:00:00
1659374100,131.941,132.101,131.906,131.967,3551,0,0,2022-08-01 17:15:00
1659375000,131.968,131.996,131.868,131.935,3767,0,0,2022-08-01 17:30:00
1659375900,131.934,131.937,131.71,131.809,3893,0,0,2022-08-01 17:45:00
1659376800,131.809,131.938,131.788,131.8,3094,0,0,2022-08-01 18:00:00
1659377700,131.798,131.867,131.603,131.724,2819,0,0,2022-08-01 18:15:00
1659378600,131.725,131.757,131.605,131.747,3208,0,0,2022-08-01 18:30:00
1659379500,131.748,131.825,131.705,131.822,2524,0,0,2022-08-01 18:45:00
1659380400,131.823,131.843,131.781,131.815,1767,0,0,2022-08-01 19:00:00
1659381300,131.815,131.893,131.784,131.885,1700,0,0,2022-08-01 19:15:00
1659382200,131.886,131.894,131.781,131.816,1197,0,0,2022-08-01 19:30:00
1659383100,131.818,131.819,131.723,131.762,871,0,0,2022-08-01 19:45:00
1659384000,131.762,131.898,131.741,131.893,1227,0,0,2022-08-01 20:00:00
1659384900,131.895,131.94,131.881,131.911,962,0,0,2022-08-01 20:15:00
1659385800,131.911,131.911,131.825,131.844,941,0,0,2022-08-01 20:30:00
1659386700,131.845,131.933,131.827,131.923,1111,0,0,2022-08-01 20:45:00
1659387600,131.922,131.991,131.918,131.944,994,0,0,2022-08-01 21:00:00
1659388500,131.943,131.974,131.938,131.951,989,0,0,2022-08-01 21:15:00
1659389400,131.951,131.964,131.922,131.931,967,1,0,2022-08-01 21:30:00
1659390300,131.931,131.964,131.791,131.804,1223,0,0,2022-08-01 21:45:00
1659391200,131.806,131.847,131.677,131.681,1341,0,0,2022-08-01 22:00:00
1659392100,131.681,131.717,131.647,131.655,975,0,0,2022-08-01 22:15:00
1659393000,131.656,131.726,131.63,131.684,887,0,0,2022-08-01 22:30:00
1659393900,131.686,131.706,131.624,131.646,953,0,0,2022-08-01 22:45:00
1659394800,131.646,131.669,131.611,131.624,807,2,0,2022-08-01 23:00:00
1659395700,131.624,131.652,131.61,131.618,940,1,0,2022-08-01 23:15:00
1659396600,131.618,131.638,131.603,131.637,508,3,0,2022-08-01 23:30:00
1659397500,131.638,131.639,131.6,131.6,747,3,0,2022-08-01 23:45:00
1659398400,131.601,131.708,131.597,131.61,86,12,0,2022-08-02 00:00:00
1659399300,131.605,131.681,131.603,131.629,366,13,0,2022-08-02 00:15:00
1659400200,131.628,131.657,131.628,131.65,279,15,0,2022-08-02 00:30:00
1659401100,131.651,131.675,131.629,131.664,137,3,0,2022-08-02 00:45:00
1659402000,131.664,131.697,131.613,131.684,533,3,0,2022-08-02 01:00:00
1659402900,131.681,131.729,131.664,131.689,829,1,0,2022-08-02 01:15:00
1659403800,131.688,131.688,131.443,131.634,951,3,0,2022-08-02 01:30:00
1659404700,131.634,131.695,131.521,131.553,570,3,0,2022-08-02 01:45:00
1659405600,131.553,131.678,131.505,131.586,2061,0,0,2022-08-02 02:00:00
1659406500,131.586,131.602,131.517,131.549,1142,1,0,2022-08-02 02:15:00
1659407400,131.548,131.637,131.482,131.552,1855,0,0,2022-08-02 02:30:00
1659408300,131.552,131.666,131.371,131.404,1444,1,0,2022-08-02 02:45:00
1659409200,131.399,131.526,131.271,131.291,2749,0,0,2022-08-02 03:00:00
1659410100,131.292,131.314,130.97,131.031,2987,0,0,2022-08-02 03:15:00
1659411000,131.031,131.124,130.59,130.789,3498,0,0,2022-08-02 03:30:00
1659411900,130.789,130.976,130.699,130.937,2772,2,0,2022-08-02 03:45:00
1659412800,130.937,130.97,130.754,130.796,2382,1,0,2022-08-02 04:00:00
1659413700,130.796,130.934,130.728,130.745,1353,1,0,2022-08-02 04:15:00
1659414600,130.743,130.768,130.395,130.566,2822,2,0,2022-08-02 04:30:00
1659415500,130.566,130.714,130.561,130.682,1597,2,0,2022-08-02 04:45:00
1659416400,130.682,130.793,130.546,130.725,1878,2,0,2022-08-02 05:00:00
1659417300,130.726,130.755,130.636,130.687,1308,0,0,2022-08-02 05:15:00
1659418200,130.686,130.764,130.563,130.629,1377,1,0,2022-08-02 05:30:00
1659419100,130.629,130.743,130.619,130.673,1831,0,0,2022-08-02 05:45:00
1659420000,130.672,130.95,130.635,130.857,1790,0,0,2022-08-02 06:00:00
1659420900,130.856,130.871,130.792,130.868,2026,0,0,2022-08-02 06:15:00
1659421800,130.871,130.947,130.841,130.874,1878,0,0,2022-08-02 06:30:00
1659422700,130.875,130.908,130.786,130.845,1494,2,0,2022-08-02 06:45:00
1659423600,130.845,130.856,130.725,130.757,1619,0,0,2022-08-02 07:00:00
1659424500,130.756,130.825,130.737,130.809,1571,0,0,2022-08-02 07:15:00
1659425400,130.809,130.864,130.739,130.773,2465,0,0,2022-08-02 07:30:00
1659426300,130.772,130.802,130.72,130.721,1684,0,0,2022-08-02 07:45:00
1659427200,130.72,130.723,130.636,130.665,2093,0,0,2022-08-02 08:00:00
1659428100,130.664,130.698,130.424,130.478,2240,0,0,2022-08-02 08:15:00
1659429000,130.479,130.655,130.465,130.651,1905,0,0,2022-08-02 08:30:00
1659429900,130.648,130.705,130.613,130.652,1984,0,0,2022-08-02 08:45:00
1659430800,130.653,130.87,130.636,130.83,2959,0,0,2022-08-02 09:00:00
1659431700,130.83,131.094,130.824,130.915,3289,0,0,2022-08-02 09:15:00
1659432600,130.914,130.931,130.784,130.811,2730,0,0,2022-08-02 09:30:00
1659433500,130.812,130.93,130.729,130.864,1649,0,0,2022-08-02 09:45:00
1659434400,130.864,130.95,130.66,130.754,3767,0,0,2022-08-02 10:00:00
1659435300,130.754,130.875,130.713,130.843,3087,0,0,2022-08-02 10:15:00
1659436200,130.843,130.895,130.737,130.82,3731,0,0,2022-08-02 10:30:00
1659437100,130.82,130.867,130.763,130.827,3243,0,0,2022-08-02 10:45:00
1659438000,130.828,131.024,130.785,130.959,2724,0,0,2022-08-02 11:00:00
1659438900,130.959,131.119,130.872,131.106,3461,0,0,2022-08-02 11:15:00
1659439800,131.106,131.179,130.997,131.013,3431,0,0,2022-08-02 11:30:00
1659440700,131.012,131.046,130.87,130.873,3230,0,0,2022-08-02 11:45:00
1659441600,130.878,131.055,130.846,130.978,2808,0,0,2022-08-02 12:00:00
1659442500,130.977,130.996,130.804,130.835,2683,0,0,2022-08-02 12:15:00
1659443400,130.835,130.841,130.697,130.797,2193,0,0,2022-08-02 12:30:00
1659444300,130.798,130.881,130.789,130.805,1521,0,0,2022-08-02 12:45:00
1659445200,130.805,130.969,130.802,130.925,1114,0,0,2022-08-02 13:00:00
1659446100,130.924,130.935,130.871,130.881,1578,0,0,2022-08-02 13:15:00
1659447000,130.882,130.937,130.823,130.926,1430,0,0,2022-08-02 13:30:00
1659447900,130.926,131.014,130.88,130.993,1597,0,0,2022-08-02 13:45:00
1659448800,130.992,131.012,130.931,130.995,1858,0,0,2022-08-02 14:00:00
1659449700,130.996,130.996,130.859,130.926,1619,0,0,2022-08-02 14:15:00
1659450600,130.924,131.062,130.911,130.936,1813,0,0,2022-08-02 14:30:00
1659451500,130.936,131.052,130.873,130.992,1936,0,0,2022-08-02 14:45:00
1659452400,130.991,131.081,130.903,130.957,2409,0,0,2022-08-02 15:00:00
1659453300,130.957,131.051,130.716,130.732,3106,0,0,2022-08-02 15:15:00
1659454200,130.733,130.869,130.637,130.807,3024,0,0,2022-08-02 15:30:00
1659455100,130.807,130.816,130.688,130.753,2336,0,0,2022-08-02 15:45:00
1659456000,130.753,131.088,130.699,130.98,3439,0,0,2022-08-02 16:00:00
1659456900,130.976,131.301,130.932,131.252,3447,0,0,2022-08-02 16:15:00
1659457800,131.252,131.256,131.04,131.2,3502,0,0,2022-08-02 16:30:00
1659458700,131.198,131.495,131.151,131.405,3430,0,0,2022-08-02 16:45:00
1659459600,131.403,131.602,131.309,131.455,4340,0,0,2022-08-02 17:00:00
1659460500,131.454,131.574,131.396,131.514,3552,0,0,2022-08-02 17:15:00
1659461400,131.511,131.699,131.457,131.662,3524,0,0,2022-08-02 17:30:00
1659462300,131.662,131.818,131.532,131.722,4012,0,0,2022-08-02 17:45:00
1659463200,131.72,131.896,131.693,131.894,3201,0,0,2022-08-02 18:00:00
1659464100,131.894,131.897,131.7,131.846,2654,0,0,2022-08-02 18:15:00
1659465000,131.846,132.078,131.804,132.065,2604,0,0,2022-08-02 18:30:00
1659465900,132.066,132.393,132.066,132.309,2799,0,0,2022-08-02 18:45:00
