Timestamp,Open,High,Low,Close,Volume
1971.01.01 00:00:00,357.73000,358.44000,357.72000,357.72000,20.0
1971.02.01 00:00:00,357.67000,357.67000,357.49000,357.56000,18.0
1971.03.01 00:00:00,357.63000,357.63000,357.42000,357.42000,23.0
1971.04.01 00:00:00,357.49000,357.62000,357.40000,357.40000,22.0
1971.05.01 00:00:00,357.41000,357.53000,357.14000,357.40000,20.0
1971.06.01 00:00:00,357.46000,357.46000,357.37000,357.40000,22.0
1971.07.01 00:00:00,357.40000,357.46000,357.36000,357.39000,21.0
1971.08.01 00:00:00,357.41000,357.41000,339.85000,339.85000,11.0
1971.09.01 00:00:00,341.01000,341.01000,335.35000,335.35000,21.0
1971.10.01 00:00:00,333.39000,333.39000,329.00000,329.50000,19.0
1971.11.01 00:00:00,329.45000,330.87000,327.06000,327.44000,20.0
1971.12.01 00:00:00,327.60000,327.60000,314.96000,315.01000,22.0
1972.01.01 00:00:00,314.86000,314.96000,310.08000,310.56000,21.0
1972.02.01 00:00:00,310.37000,310.37000,302.11000,303.40000,20.0
1972.03.01 00:00:00,303.21000,304.32000,301.66000,304.32000,23.0
1972.04.01 00:00:00,304.14000,305.16000,302.11000,304.88000,20.0
1972.05.01 00:00:00,304.41000,305.34000,303.58000,304.69000,22.0
1972.06.01 00:00:00,304.41000,304.69000,294.12000,300.93000,22.0
1972.07.01 00:00:00,300.84000,301.57000,300.03000,301.39000,20.0
1972.08.01 00:00:00,301.20000,301.20000,300.93000,301.11000,23.0
1972.09.01 00:00:00,301.11000,301.20000,301.02000,301.11000,20.0
1972.10.01 00:00:00,301.11000,301.20000,300.48000,301.11000,20.0
1972.11.01 00:00:00,301.02000,301.20000,299.94000,301.11000,20.0
1972.12.01 00:00:00,301.11000,302.02000,301.07000,301.66000,20.0
1973.01.01 00:00:00,301.39000,302.57000,301.20000,301.39000,22.0
1973.02.01 00:00:00,300.93000,300.93000,263.02000,265.67000,18.0
1973.03.01 00:00:00,265.60000,266.03000,254.45000,265.96000,22.0
1973.04.01 00:00:00,266.03000,266.03000,264.55000,265.53000,21.0
1973.05.01 00:00:00,265.53000,265.67000,262.47000,264.69000,22.0
1973.06.01 00:00:00,264.06000,265.18000,262.88000,263.16000,21.0
1973.07.01 00:00:00,265.25000,266.17000,259.40000,263.44000,21.0
1973.08.01 00:00:00,263.44000,265.60000,263.44000,265.39000,23.0
1973.09.01 00:00:00,265.46000,265.60000,265.25000,265.60000,19.0
1973.10.01 00:00:00,265.60000,266.95000,265.60000,266.95000,21.0
1973.11.01 00:00:00,270.27000,280.66000,270.27000,280.11000,20.0
1973.12.01 00:00:00,280.11000,280.66000,280.03000,280.27000,20.0
1974.01.01 00:00:00,280.82000,305.34000,280.82000,298.77000,22.0
1974.02.01 00:00:00,298.86000,298.86000,280.58000,288.43000,18.0
1974.03.01 00:00:00,292.06000,292.74000,274.42000,276.09000,21.0
1974.04.01 00:00:00,280.11000,280.11000,275.48000,279.64000,22.0
1974.05.01 00:00:00,279.41000,281.93000,277.39000,281.93000,22.0
1974.06.01 00:00:00,283.69000,284.25000,281.85000,284.25000,20.0
1974.07.01 00:00:00,285.31000,298.24000,285.31000,298.24000,22.0
1974.08.01 00:00:00,299.58000,303.86000,299.58000,302.94000,22.0
1974.09.01 00:00:00,302.66000,302.75000,294.81000,298.33000,20.0
1974.10.01 00:00:00,298.15000,300.12000,297.97000,299.94000,22.0
1974.11.01 00:00:00,300.48000,300.48000,299.67000,300.30000,18.0
1974.12.01 00:00:00,300.39000,301.20000,299.76000,301.02000,21.0
1975.01.01 00:00:00,300.66000,301.02000,294.99000,297.97000,22.0
1975.02.01 00:00:00,297.44000,297.44000,285.63000,286.45000,18.0
1975.03.01 00:00:00,285.39000,294.03000,284.66000,294.03000,21.0
1975.04.01 00:00:00,290.87000,294.55000,290.87000,292.23000,22.0
1975.05.01 00:00:00,292.14000,292.23000,290.36000,291.55000,21.0
1975.06.01 00:00:00,291.46000,297.00000,291.04000,295.68000,21.0
1975.07.01 00:00:00,295.68000,297.80000,295.42000,297.71000,22.0
1975.08.01 00:00:00,297.89000,298.15000,297.62000,297.97000,21.0
1975.09.01 00:00:00,297.97000,303.31000,297.80000,302.85000,21.0
1975.10.01 00:00:00,302.57000,303.12000,301.11000,301.75000,22.0
1975.11.01 00:00:00,301.75000,303.21000,301.75000,303.12000,17.0
1975.12.01 00:00:00,304.41000,306.84000,304.41000,305.16000,22.0
1976.01.01 00:00:00,305.06000,306.00000,303.58000,303.67000,21.0
1976.02.01 00:00:00,303.21000,303.21000,300.12000,302.11000,18.0
1976.03.01 00:00:00,301.66000,301.66000,299.58000,299.58000,23.0
1976.04.01 00:00:00,299.49000,300.03000,297.44000,299.04000,22.0
1976.05.01 00:00:00,298.95000,300.03000,297.89000,300.03000,20.0
1976.06.01 00:00:00,300.39000,300.48000,296.03000,297.97000,22.0
1976.07.01 00:00:00,296.91000,297.18000,292.65000,293.26000,21.0
1976.08.01 00:00:00,292.91000,293.00000,287.85000,289.35000,22.0
1976.09.01 00:00:00,288.93000,288.93000,286.04000,286.86000,21.0
1976.10.01 00:00:00,287.11000,294.38000,287.11000,294.38000,20.0
1976.11.01 00:00:00,295.86000,297.09000,293.77000,297.09000,19.0
1976.12.01 00:00:00,296.91000,297.89000,292.14000,293.08000,23.0
1977.01.01 00:00:00,292.48000,292.91000,288.18000,288.43000,21.0
1977.02.01 00:00:00,288.02000,288.35000,281.69000,282.81000,19.0
1977.03.01 00:00:00,282.49000,282.49000,276.63000,277.55000,23.0
1977.04.01 00:00:00,276.17000,278.78000,270.71000,277.78000,21.0
1977.05.01 00:00:00,278.01000,278.16000,275.94000,277.28000,21.0
1977.06.01 00:00:00,277.32000,277.32000,267.45000,267.59000,22.0
1977.07.01 00:00:00,267.13000,267.13000,263.09000,266.81000,19.0
1977.08.01 00:00:00,267.13000,267.92000,265.53000,267.50000,23.0
1977.09.01 00:00:00,268.17000,268.17000,263.71000,263.71000,21.0
1977.10.01 00:00:00,260.72000,261.10000,249.13000,249.13000,20.0
1977.11.01 00:00:00,246.73000,249.00000,239.75000,244.02000,19.0
1977.12.01 00:00:00,243.07000,243.07000,237.81000,239.98000,21.0
1978.01.01 00:00:00,237.59000,242.42000,237.42000,241.60000,21.0
1978.02.01 00:00:00,241.60000,241.84000,238.10000,238.10000,18.0
1978.03.01 00:00:00,238.27000,238.41000,222.27000,229.89000,23.0
1978.04.01 00:00:00,218.34000,228.10000,218.34000,224.97000,20.0
